Provider/Currency,Supported National Currencies,Supported Crypto Currencies,Disclaimer
"1x2, IronDog, Leap",AED AFN ALL AMD ANG AOA ARS AUD AWG AZN BAM BBD BCH BDT BGN BHD BIF BMD BND BOB BRL BSD BTN BWP BYN BYR BZD CAD CDF CHF CLF CLP CNY COP CRC CUC CUP CVE CZK DJF DKK DOG DOP DZD EGP ERN ETB EUR FJD FKP GBP GEL GGP GHS GIP GMD GNF GTQ GYD HKD HNL HRK HTG HUF IDR ILS IMP INR IQD IRR ISK JEP JMD JOD JPY KES KGS KHR KMF KPW KRW KWD KYD KZT LAK LBP LKR LRD LSL LTL LVL LYD MAD MDL MGA MKD MMK MNT MOP MRO MRU MUR MVR MWK MXN MYR MZN NAD NGN NIO NOK NPR NZD OMR PAB PEN PGK PHP PKR PLN PYG QAR RON RSD RUB RWF SAR SBD SCR SDG SEK SGD SHP SLL SOS SRD SSP STD STN SVC SYP SZL THB TJS TMT TND TOP TRY TTD TWD TZS UAH UGX USD UST UYU UZS VEF VND VUV WST XAF XAG XAU XCD XDR XOF XPF YER ZAR ZMK ZMW ZWL,"mETH, mLTC, mBCH",
7777Gaming,AED ALL AMD AOA ARS AUD AZN BAM BDT BGN BOB BRL BWP BYN CAD CDF CHF CLP CNY COP CRC CZK DKK DOP EGP ETB EUR FUN GBP GEL GHS GTQ GYD HKD HNL HTG HUF IDR INR JMD JPY KES KGS KRW KZT LBP LSL MAD MDL MKD MNT MWK MXN MYR MZN NAD NGN NOK NZD PEN PHP PLN PYG RON RSD RUB RWF SEK SGD SLE SRD SZL THB TMT TND TOP TRY TZS UAH UGX USD UYU UZS VES VND XAF XOF ZAR ZMW,-,"BGN, MDL, MKD, RON only with local licenses
"
AESexyBaccarat,AED AUD BDT BND BRL CAD CHF COP CNY EUR GBP HKD IDR JPY KRW KZT KHR KES LAK LKR MOP MMK MYR MNT NOK NZD NPR NGN PTI PTV PKR PHP PEN SEK SGD THB TRY TND TZS USD UAH VND ZAR ZWD ZMW,-,INR is available only for India Nepal Pakistan Bangladesh markets
AGTSoftware,"HNL, JMD, DZD, HRK, CHF, SLL, SZL, TWD, VND, CUP, SBD, SHP, XBT, XPT, TVD, SPL, CAD, RON, CUC, FKP, GIP, LRD, MOP, RWF, BWP, DJF, DKK, GNF, JOD, KWD, LYD, OMR, BMD, BSD, GBP, BHD, HUF, ANG, AWG, BAM, XDR, CZK, BGN, HKD, MYR, NOK, PKR, QAR, SEK, SGD, SYP, COP, BYR, TTD, LSL, NAD, ICX, GEL, TND, CNY, PAB, PGK, TOP, WST, XAG, XCD, BRL, USD, AMD, IMP, AZN, PNT, ZMW, TZS, SSP, IQD, BBD, ZAR, UZS, TMT, FUN, ZWD, EGP, PHP, AED, PEN, BOB, BYN, IDR, KHR, KRW, LKR, MAD, MDL, MRO, MUR, MVR, MWK, NIO, NZD, CLP, PYG, SAR, SCR, SDG, SRD, THB, TRY, UAH, YER, XOF, UYU, BZD, FJD, GTQ, KYD, SVC, VUV, DEC, CFA, SIT, ZWL, MZN, KES, HTG, GMD, ETB, DOP, ILS, AFN, AOA, STD, JEP, INR, ARS, NPR, EUR, BDT, CRC, KZT, ALL, RUB, MXN, ISK, KPW, LAK, LBP, MGA, MKD, MNT, PLN, RSD, SOS, TJS, XAF, BTN, CVE, ERN, KMF, GGP, PRB, UGX, USD, GHS, AUD, BIF, BND, CDF, IRR, KGS, GYD, JPY, XPD, XPF, NGN, XAU","uBTC, mLTC",
Alea,"AED, AFN, ALL, AMD, ANG, AOA, ARS, AUD, AWG, AZN, BAM, BBD, BDT, BHD, BIF, BMD, BND, BOB, BRL, BSD, BTN, BWP, BYN, BZD, CAD, CDF, CHF, CLP, CNY, COP, CRC, CUP, CVE, CZK, DJF, DKK, DOP, DZD, EGP, ERN, ETB, EUR, FJD, FKP, GBP, GEL, GHS, GIP, GMD, GNF, GTQ, GYD, HKD, HNL, HRK, HTG, HUF, IDR, ILS, INR, IQD, IRR, ISK, JMD, JOD, JPY, KES, KGS, KHR, KMF, KPW, KRW, KWD, KYD, KZT, LAK, LBP, LKR, LRD, LSL, LYD, MAD, MBC, mBTC, MDL, MGA, MKD, MMK, MNT, MOP, MRU, MUR, MVR, MWK, MXN, MYR, MZN, NAD, NGN, NIO, NOK, NPR, NZD, OMR, PAB, PEN, PGK, PHP, PKR, PLN, PYG, QAR, RON, RSD, RWF, SAR, SBD, SCR, SDG, SEK, SGD, SHP, SLL, SOS, SRD, SYP, SZL, THB, TJS, TMT, TND, TOP, TRY, TTD, TWD, TZS, UAH, UBC, uBTC, UGX, USD, UYU, UZS, VES, VND, VUV, WST, XAF, XCD, XOF, XPF, YER, ZAR, ZMW","uBTC, MBC, mBTC, UBC",
Altente,AED ALL AMD AOA ARS AUD AVC AZN BAM BCH BCN BDT BGN BHD BIF BND BOB BRL BWP BYN CAD CDF CHF CLP CNY COP CRC CUP CVE CZK  DGB DJF DKK DOP DOT DZD EGP ERN ETB EUR FUN GBP GEL GHS GMD GNF GTQ HKD HNL HRK HTG HUF IDR ILS INR IQD IRR IRRT IRT ISK JOD JPY KES KGS KHR KMF KRE KRW KWD KZT LAK LKR LRD LSL LYD MAD MDL MGA MKD MMK MNT MRU MUR MVR MWK MXN MYR MZN NAD  NGN NIO NOK NPR NZD OMR PAB PEN PHP PKR PLN PPC PYG QAR RON RSD RUB RWF SAR SCR SDG SEK SGD SLL SOS SVC SZL THB TJS TMT TND TRY TTD TWD TZS UAH UGX USD UYU UZS VND XAF XOF ZAR ZMW ZWL,ADA BNB BSV BTC BTS BUSD DASH DOG DOGE ETH GAME LTC MBCH MBNB MBT MBTC MBTG MDASH METC METH MLTC MXMR MZEC NBX QTUM SHIB STRAT SOL TRTL TRX USDT VNDC VSYS UBT XEM XLM XRP ZEC XVG,
Alize,"PHP, IDR(K), VND(K), INR, BRL, MYR, THB, COP(K), NGN, BWP, ZAR, GHS, KES, CNY, JPY, MMK (K), KRW, HKD, TRY, USD",USDT,
Amatic,ALL AMD ARS AZN BAM BGN BRL BYN BYR CAD CLP CNY COP CZK DOP EUR GEL GHS HKD HRK HUF IDR ILS INR ISK JPY KGS KRW KZT MDL MKD MNT MXN MYR NOK NZD PHP PLN RON RSD RUB THB TJS TMT TND TRY TZS UAH UGX USD UZS VND ZAR ZMW,ETH LTC mBTC uBTC mLTC,"CHF, GBP, KES, NGN, PEN, SEK currencies are available only for operators with a local license"
Authentic Gaming,"ALL ARS AUD AZN BAM BGN BRL BYN CAD CHF CLP CNY COP CZK DKK EUR GBP GEL GHS HRK HUF ILS INR IRR KES KGS KRW MDL MNT MXN NGN NOK NZD PEN PHP PLN RON RUB SEK TND TJS TRY UAH USD UYU VEF ZAR XAF, JPY","mETH, USDT, mBCH, DOGE, mDASH, mLTC, mZEC, mETC",
Asia Gaming (Live + Slots),"CNY, KRW, MYR, USD, JPY, THB, IDR, VND, EUR, INR, BRL, GBP, AUD, MMK, CAD",,
Apollo,"AED, AFN, ALL, AMD, AOA, ARS, AUD, AWG, AZN, BAM, BDT, BGN, BHD, BOB, BRL, BWP, BYN, CAD, CHF, CLP, CNY, COP, CRC, CZK, DKK, DOP, EGP, EUR, GBP, GHS, GTQ, GYD, HKD, HNL, HUF, IDR, ILS, INR, IQD, ISK, JOD, JPY, KES, KGS, KHR, KRW, KZT, LBP, LKR, MAD, MDL, MXN, NGN, NOK, NZD, PEN, PHP, PKR, PLN, PYG, RON, RSD, RUB, RWF, SEK, SGD, THB, TJS, TMT, TND, TRY, TWD, TZS, UAH, UGX, USD, UYU, UZS, VES, VND, XAF, ZAR, ZMW","mLTC, uBTC, USDT",
AtmosferaLive,AED ALL AMD AOA ARS AUD AZN BAM BDT BGN BIF BRL BYN CAD CDF CHF CLP CNY COP CRC CUP CZK DKK DZD EGP EUR FJD GBP GEL GHS GTQ HKD HRK HUF IDR ILS INR IQD IRR IRT ISK JOD JPY KES KGS KHR KRW KWD KZT LAK LBP LKR LYD MAD MDL MKD MMK MNT MVR MXN MYR MZN NAD NGN NIO NOK NPR NZD OMR PAB PEN PHP PKR PLN PYG QAR RON RSD RUB RWF SAR SEK SGD SOS SYP THB TJS TMT TND TRY TTD TWD TZS UAH UGX USD UZS VND XAF XOF ZAR ZMW,-,
AvatarUX,ADA AED AFN ALL AMD ANG AOA ARS AUD AZN BAM BDT BGN BHD BIF BNB BOB BRL BWP BYN BZD CAD CDF CHF CLP CNY COP CRC CUP CZK DKK DOG DOP DOT DZD EGP EOS ETB EUR GBP GEL GHS GMD GNF GTQ HKD HNL HTG HUF IDR ILS INR IQD IRR ISK JMD JOD JPY KES KGS KHR KIDR KRW KVND KWD KZT LAK LBP LKR LRD LSL LYD MAD MDL MGA MKD MMK MNT MOP MUR MVR MWK MXN MYR MZN NAD NEO NGN NIO NOK NPR NZD OMR PAB PEN PHP PKR PLN PYG QAR RON RSD RUB RWF SAR SCR SDG SEK SGD SHIB SLL SRD TEUR THB TJS TMT TND TON TRX TRY TTD TWD TZS UAH UGX USD UYU UZS VES VSYS XAF XCD XLM XOF XRP YER ZAR ZMW ZWL,"BCH, DASH, DOGE, mBNB, mETH, mLTC, uBTC, uETH, USDC, USDT, ",
Aviator Studio,All FIAT currencies,,
AviatrixDirect,"AED, ALL, AMD, ANG, AOA, ARS, ARS, AUD, AWG, AZN, BAM, BBD, BDT, BGN, BIF, BMD, BND, BOB, BRL, BSD, BTN, BWP, BYN, BYR, BZD, CAD, CDF, CHF, CLP, CNY, COP, CRC, CUC, CVE, CZK, DJF, DKK, DOP, DZD, EGP, ERN, ETB, EUR, FJD, FKP, GBP, GEL, GGP, GHS, GIP, GMD, GNF, GTQ, GYD, HKD, HNL, HRK, HTG, HUF, IDR, ILS, IMP, IN5, INR, IQD, IRR, ISK, JEP, JMD, JOD, JPY, KES, KGS, KHR, kIDR, KMF, kMMK, KPW, KRW, kVND, KWD, KYD, KZT, LAK, LBP, LKR, LRD, LSL, LYD, MAD, MDL, MKD, MMK, MNT, MOP, MRO, MRU, MUR, MVR, MWK, MXN, MYR, MZN, NAD, NGN, NIO, NOK, NPR, NZD, OMR, PAB, PEN, PGK, PHP, PK5, PKR. PLN, PYG, QAR, RON, RSD, RUB, RWF, SAR, SBD, SDG, SEK, SGD, SHP, SLE, SLL, SOS, SRD, STD, STN, SVC, SYP, SZL, THB, TJS, TMT, TND, TOP, TRY, TTD, TWD, TZS, UAH, UGX, USD, UYU, UZS, VEF, VES, VND, VUV, WST, XAF, XAG, XAU, XCD, XDR, XOF, XPF, YER, ZAR, ZMK, ZMW, ZWD, ZWL	",,
Barbara Bang,AED ALL AMD AOA ARS ARSB AUD AZN BAM BDT BGN BHD BIF BOB BRL BWP BYN CAD CDF CHF CLP CNY COP CRC CUP CZK DKK DZD EGP ETB EUR  GBP GEL GHS GNF GTQ HKD HUF IDR ILS INR IQD IRR ISK JOD JPY KES KGS KRW KWD KZT LAK LBP LKR LSL LYD MAD MDL MGA MKD MMK MNT  MRU MVR MXN MYR MZN NGN NOK NPR NZD OMR PAB PEN PHP PKR PLN PYG QAR RON RSD RUB SAR SCR SDG SEK SGD SLE SLL SOS SYP THB TJS  TMT TND TRY TWD TZS UAH UGX USD UYU UZS VES VND WST XAF XDR XOF YER ZAR ZMW,"USDT mBTG mBTC uBTC mETH mLTC BCH mBCH DASH mDASH mETC XMR mXMR ADA BAT BCN BNB DGB GAME LINK OMG PART QTUM SIB TRX
XEM XVG FTN BTS DOGE XRP",
BeeFee,AED AFN ALL AMD ANG AOA ARS AUD AWG AZN BAM BBD BDT BGN BHD BIF BMD BND BOB BRL BSD BTN BWP BYN BZD CAD CDF CFA CHF CLF CLP CNH CNY COP CRC CRD CUC CUP CVE CZK DJF DKK DOP DZD EGP ERN ETB EUR FJD FKP GBP GEL GGP GHS GIP GMD GNF GTQ GYD HKD HNL HRK HTG HUF IDR ILS IMP INR IQD IRR ISK JEP JMD JOD JPY KES KGS KHR KMF KPW KRW KWD KYD KZT LAK LBP LKR LRD LSL LYD MAD MDL MGA MKD MMK MNT MOP MRU MUR MVR MWK MXN MYR MZN NAD NGN NIO NOK NPR NZD OMR PAB PEN PGK PHP PKR PLN PYG QAR RON RSD RUB RWF SAR SBD SCR SDG SEK SGD SHP SLL SOS SRD SSP STD STN SVC SYP SZL TEU THB TJS TMT TND TOP TRY TTD TWD TZS UAH UGX USD UYU UZS VES VND VUV WST XAF XAG XAU XCD XDR XOF XPD XPF XPT YER ZAR ZMW ZWL,,
Belatra,AED AFN ALL AMD ANG AOA ARS AUD AWG AZN BAM BBD BDT BGN BHD BIF BMD BND BOB BRL BSD BTN BWP BYN BZD CAD CDF CHF CLF CLP CNY COP CRC CUC CUP CVE CZK DJF DKK DOP DZD EGP ERN ETB EUR FJD FKP GBP GEL GHS GIP GMD GNF GTQ GYD HKD HNL HRK HTG HUF IDR ILS INR IQD IRR ISK JMD JOD JPY KES KGS KHR KMF KPW KRW KWD KYD KZT LAK LBP LKR LRD LSL LYD MAD MDL MGA MKD MMK MNT MOP MRO MUR MVR MWK MXN MYR MZN NAD NGN NIO NOK NPR NZD OMR PAB PEN PGK PHP PKR PLN PYG QAR RON RSD RUB RWF SAR SBD SCR SDG SEK SGD SHP SLL SOS SRD SSP STD SVC SYP SZL THB TJS TMT TND TOP TRY TTD TWD TZS UAH UGX USD UYU UZS VEF VND VUV WST XAF XCD XOF XPF YER ZAR ZMW ZWL,ADA BCH BNB BSV DASH DOGE EOS FUN XEM DTC GAME BCH BTL SOL TON TRX USDC USDT XMR XRP ZEC,
BetConstruct,AED AMD ARS AUD AZN BOB BRL BYR CAD CHF CLP CNY COP CZK DKK EUR GBP GEL GHS HKD HUF ILS INR IQD IRR JPY KES KGS KRW KZT LTL MDL MNT MXN MYR NGN NOK NZD PEN PLN PYG RON RSD RUB SEK SGD THB TJS TMT TND TRY TWD UAH UGX USD UYU UZS VEF VND XAF ZAR,-,
